
*******************
* Started on 2010-08-18 08/03/47
* Using start frequency 1001
*******************
* time:pressure:isPlaying:aborting:frequency:maxPressure:pressureThreshold
*******************
2010-08-18 08/03/49:101:0:0:0:101:140:
2010-08-18 08/03/51:100:1:0:1001:102:140:
2010-08-18 08/03/53:99:1:0:1001:102:140:
2010-08-18 08/03/55:97:1:0:1001:102:140:
2010-08-18 08/03/57:99:1:0:1001:102:140:
2010-08-18 08/03/59:99:1:0:1001:102:140:
2010-08-18 08/04/01:98:1:0:1002:102:140:
2010-08-18 08/04/03:99:1:0:1002:102:140:
2010-08-18 08/04/05:99:1:0:1002:102:140:
2010-08-18 08/04/07:99:1:0:1002:102:140:
2010-08-18 08/04/09:97:1:0:1002:102:140:
2010-08-18 08/04/11:98:1:0:1003:102:140:
2010-08-18 08/04/13:100:1:0:1003:102:140:
2010-08-18 08/04/15:98:1:0:1003:102:140:
2010-08-18 08/04/17:99:1:0:1003:102:140:
2010-08-18 08/04/19:99:1:0:1003:102:140:
2010-08-18 08/04/21:98:1:0:1004:102:140:
2010-08-18 08/04/23:99:1:0:1004:102:140:
2010-08-18 08/04/26:99:1:0:1004:102:140:
2010-08-18 08/04/28:99:1:0:1004:102:140:
2010-08-18 08/04/30:100:1:0:1004:103:140:
2010-08-18 08/04/32:101:1:0:1005:103:140:
2010-08-18 08/04/34:102:1:0:1005:105:140:
2010-08-18 08/04/36:105:1:0:1005:107:140:
2010-08-18 08/04/38:106:1:0:1005:108:140:
2010-08-18 08/04/40:108:1:0:1005:111:140:
2010-08-18 08/04/42:110:1:0:1006:113:140:
2010-08-18 08/04/44:113:1:0:1006:115:140:
2010-08-18 08/04/46:114:1:0:1006:117:140:
2010-08-18 08/04/48:114:1:0:1006:117:140:
2010-08-18 08/04/50:113:1:0:1006:117:140:
2010-08-18 08/04/52:113:1:0:1007:117:140:
2010-08-18 08/04/54:114:1:0:1007:117:140:
2010-08-18 08/04/56:113:1:0:1007:117:140:
2010-08-18 08/04/58:114:1:0:1007:117:140:
2010-08-18 08/05/00:113:1:0:1007:117:140:
2010-08-18 08/05/02:114:1:0:1008:116:140:
2010-08-18 08/05/04:113:1:0:1008:116:140:
2010-08-18 08/05/06:114:1:0:1008:117:140:
2010-08-18 08/05/08:115:1:0:1008:117:140:
2010-08-18 08/05/10:114:1:0:1008:117:140:
2010-08-18 08/05/12:114:1:0:1009:118:140:
2010-08-18 08/05/14:113:1:0:1009:119:140:
2010-08-18 08/05/16:113:1:0:1009:119:140:
2010-08-18 08/05/18:114:1:0:1009:119:140:
2010-08-18 08/05/20:114:1:0:1009:119:140:
2010-08-18 08/05/22:113:1:0:1010:119:140:
2010-08-18 08/05/24:114:1:0:1010:119:140:
2010-08-18 08/05/26:113:1:0:1010:119:140:
2010-08-18 08/05/28:113:1:0:1010:120:140:
2010-08-18 08/05/30:114:1:0:1010:120:140:
2010-08-18 08/05/33:114:1:0:1011:119:140:
2010-08-18 08/05/35:114:1:0:1011:119:140:
2010-08-18 08/05/37:114:1:0:1011:119:140:
2010-08-18 08/05/39:114:1:0:1011:119:140:
2010-08-18 08/05/41:113:1:0:1011:119:140:
2010-08-18 08/05/43:114:1:0:1012:119:140:
2010-08-18 08/05/45:113:1:0:1012:119:140:
2010-08-18 08/05/47:114:1:0:1012:119:140:
2010-08-18 08/05/49:113:1:0:1012:119:140:
2010-08-18 08/05/51:113:1:0:1012:119:140:
2010-08-18 08/05/53:114:1:0:1013:119:140:
2010-08-18 08/05/55:114:1:0:1013:119:140:
2010-08-18 08/05/57:113:1:0:1013:119:140:
2010-08-18 08/05/59:113:1:0:1013:119:140:
2010-08-18 08/06/01:113:1:0:1013:119:140:
2010-08-18 08/06/03:118:1:0:1014:119:140:
2010-08-18 08/06/05:114:1:0:1014:119:140:
2010-08-18 08/06/07:114:1:0:1014:119:140:
2010-08-18 08/06/09:110:1:0:1014:119:140:
2010-08-18 08/06/11:114:1:0:1014:119:140:
2010-08-18 08/06/13:114:1:0:1015:119:140:
2010-08-18 08/06/15:112:1:0:1015:119:140:
2010-08-18 08/06/17:114:1:0:1015:119:140:
2010-08-18 08/06/19:113:1:0:1015:119:140:
2010-08-18 08/06/21:113:1:0:1015:119:140:
2010-08-18 08/06/23:113:1:0:1016:119:140:
2010-08-18 08/06/25:114:1:0:1016:119:140:
2010-08-18 08/06/27:111:1:0:1016:119:140:
2010-08-18 08/06/29:112:1:0:1016:120:140:
2010-08-18 08/06/31:112:1:0:1016:120:140:
2010-08-18 08/06/33:114:1:0:1017:119:140:
2010-08-18 08/06/35:114:1:0:1017:119:140:
2010-08-18 08/06/37:113:1:0:1017:119:140:
2010-08-18 08/06/39:113:1:0:1017:119:140:
2010-08-18 08/06/42:115:1:0:1017:119:140:
2010-08-18 08/06/44:113:1:0:1018:120:140:
2010-08-18 08/06/46:115:1:0:1018:120:140:
2010-08-18 08/06/48:114:1:0:1018:120:140:
2010-08-18 08/06/50:113:1:0:1018:120:140:
2010-08-18 08/06/52:113:1:0:1018:120:140:
2010-08-18 08/06/54:113:1:0:1019:119:140:
2010-08-18 08/06/56:113:1:0:1019:119:140:
2010-08-18 08/06/58:114:1:0:1019:119:140:
2010-08-18 08/07/00:114:1:0:1019:119:140:
2010-08-18 08/07/02:114:1:0:1019:119:140:
2010-08-18 08/07/04:114:1:0:1020:119:140:
2010-08-18 08/07/06:114:1:0:1020:119:140:
2010-08-18 08/07/08:114:1:0:1020:119:140:
2010-08-18 08/07/10:114:1:0:1020:119:140:
2010-08-18 08/07/12:114:1:0:1020:120:140:
2010-08-18 08/07/14:113:1:0:1021:116:140:
2010-08-18 08/07/16:114:1:0:1021:117:140:
2010-08-18 08/07/18:113:1:0:1021:117:140:
2010-08-18 08/07/20:113:1:0:1021:117:140:
2010-08-18 08/07/22:114:1:0:1021:117:140:
2010-08-18 08/07/24:113:1:0:1022:117:140:
2010-08-18 08/07/26:114:1:0:1022:117:140:
2010-08-18 08/07/28:113:1:0:1022:117:140:
2010-08-18 08/07/30:114:1:0:1022:117:140:
2010-08-18 08/07/32:113:1:0:1022:117:140:
2010-08-18 08/07/34:114:1:0:1023:116:140:
2010-08-18 08/07/36:114:1:0:1023:117:140:
2010-08-18 08/07/38:114:1:0:1023:117:140:
2010-08-18 08/07/40:113:1:0:1023:117:140:
2010-08-18 08/07/42:114:1:0:1023:117:140:
2010-08-18 08/07/44:114:1:0:1024:116:140:
2010-08-18 08/07/46:114:1:0:1024:117:140:
2010-08-18 08/07/48:113:1:0:1024:117:140:
2010-08-18 08/07/51:114:1:0:1024:117:140:
2010-08-18 08/07/53:114:1:0:1024:117:140:
2010-08-18 08/07/55:114:1:0:1025:120:140:
2010-08-18 08/07/57:114:1:0:1025:120:140:
2010-08-18 08/07/59:113:1:0:1025:120:140:
2010-08-18 08/08/01:114:1:0:1025:120:140:
2010-08-18 08/08/03:116:1:0:1025:120:140:
2010-08-18 08/08/05:113:1:0:1026:120:140:
2010-08-18 08/08/07:114:1:0:1026:120:140:
2010-08-18 08/08/09:114:1:0:1026:120:140:
2010-08-18 08/08/11:113:1:0:1026:120:140:
2010-08-18 08/08/13:114:1:0:1026:120:140:
2010-08-18 08/08/15:113:1:0:1027:120:140:
2010-08-18 08/08/17:113:1:0:1027:120:140:
2010-08-18 08/08/19:114:1:0:1027:120:140:
2010-08-18 08/08/21:113:1:0:1027:120:140:
2010-08-18 08/08/23:114:1:0:1027:120:140:
2010-08-18 08/08/25:114:1:0:1028:119:140:
2010-08-18 08/08/27:114:1:0:1028:119:140:
2010-08-18 08/08/29:113:1:0:1028:119:140:
2010-08-18 08/08/31:113:1:0:1028:119:140:
2010-08-18 08/08/33:113:1:0:1028:119:140:
2010-08-18 08/08/35:113:1:0:1029:117:140:
2010-08-18 08/08/37:114:1:0:1029:117:140:
2010-08-18 08/08/39:114:1:0:1029:117:140:
2010-08-18 08/08/41:113:1:0:1029:117:140:
2010-08-18 08/08/43:112:1:0:1029:117:140:
2010-08-18 08/08/45:114:1:0:1030:117:140:
2010-08-18 08/08/47:114:1:0:1030:118:140:
2010-08-18 08/08/49:114:1:0:1030:118:140:
2010-08-18 08/08/51:114:1:0:1030:118:140:
2010-08-18 08/08/53:114:1:0:1030:118:140:
2010-08-18 08/08/55:114:1:0:1031:117:140:
2010-08-18 08/08/57:114:1:0:1031:117:140:
2010-08-18 08/09/00:114:1:0:1031:117:140:
