\uFEFFSWEREF 93 X	SWEREF 93 Y	SWEREF 93 Z	RT90/RH70 X	RT90/RH70 Y	RT90/RH70 Z	POINT NO
2441775.419	2441276.712	799286.666	5818162.025	799268.100	5818729.162	1
3464655.838	3464161.275	845805.461	5269712.429	845749.989	5270271.528	2
3309991.828	3309496.800	828981.942	5370322.060	828932.118	5370882.280	3
3160763.338	3160269.913	759204.574	5468784.081	759160.187	5469345.504	4
2248123.493	2247621.426	865698.413	5885856.498	865686.595	5886425.596	5
3022573.157	3022077.340	802985.055	5540121.276	802945.690	5540683.951	6
3104219.427	3103716.966	998426.412	5462727.814	998384.028	5463290.505	7
2998189.685	2997689.029	931490.201	5532835.154	931451.634	5533398.462	8
3199093.294	3198593.776	932277.179	5419760.966	932231.327	5420322.483	9
3370658.823	3370168.626	711928.884	5349227.574	711876.990	5349786.786	10
3341340.173	3340840.578	957963.383	5329442.724	957912.343	5330003.236	11
2534031.166	2533526.497	975196.347	5751510.935	975174.455	5752078.309	12
2838909.903	2838409.359	903854.897	5620095.593	903822.098	5620660.184	13
2902495.079	2902000.172	761490.908	5609296.343	761455.843	5609859.672	14
2682407.890	2681904.794	950423.098	5688426.909	950395.934	5688993.082	15
2620258.868	2619761.810	779162.964	5743233.630	779138.041	5743799.267	16
3246470.535	3245966.134	1077947.976	5364716.214	1077900.355	5365277.896	17
3249408.275	3248918.041	692805.543	5425836.841	692757.965	5426396.948	18
2763885.496	2763390.878	733277.458	5682089.111	733247.387	5682653.347	19
2368885.005	2368378.937	994508.273	5817909.286	994492.233	5818478.154	20
