4350436.40969	1853177.32547	4266987.69047
4554292.74383 	8477859.85416 	737.74228
33502.25400 	40493.91800 	27761.73400
37527.72900 	40451.64200 	1096.81400
X^0 * Y^0 * Z^0 	-1.69143653501935E-6 	1.13001080861725E-6 	-0.0130955155505179
X^1 * Y^0 * Z^0 	-0.550712616299543 	-0.326580049202606 	20.7736054707192
X^2 * Y^0 * Z^0 	0.00678298943167022 	-8.79952223016289E-5 	-0.44355202694895
X^3 * Y^0 * Z^0 	-0.100386579929364 	0.0979051639856152 	-10.9908136457484
X^0 * Y^1 * Z^0 	-0.288310647044428 	0.919785263024013 	10.6956915523533
X^1 * Y^1 * Z^0 	0.00713293891236333 	-0.00403873912996744 	-0.535367937447617
X^2 * Y^1 * Z^0 	-0.144625134480066 	0.149356748678656 	-15.5272935266755
X^3 * Y^1 * Z^0 	0.0308852079901953 	0.00303303481200601 	-5.75027450634991
X^0 * Y^2 * Z^0 	0.00187042538259874 	-0.00205993316986763 	-0.0197551017044315
X^1 * Y^2 * Z^0 	-0.070421039408302 	0.0745604138267026 	-7.15683638800613
X^2 * Y^2 * Z^0 	0.0352323455931582 	-0.00153880890729852 	-6.17620780419065
X^3 * Y^2 * Z^0 	0.0198667167030635 	-0.00244424492132111 	-2.94966140794523
X^0 * Y^3 * Z^0 	-0.0116069850066083 	0.0121653587307264 	-1.06686999192601
X^1 * Y^3 * Z^0 	0.009672406329571 	-0.00130999385430641 	-1.63492036117356
X^2 * Y^3 * Z^0 	0.00982537741145961 	-0.00176398743548134 	-1.60463751466261
X^3 * Y^3 * Z^0 	0.00706408643168288 	-0.00741629871731675 	-0.463227594180069
X^0 * Y^0 * Z^1 	0.547526935981594 	0.00208787563949708 	16.997729215219
X^1 * Y^0 * Z^1 	0.00787061314861148 	-0.000950125289591597 	-0.853739903097392
X^2 * Y^0 * Z^1 	-0.24077083679822 	0.238310939418625 	-27.0721446845996
X^3 * Y^0 * Z^1 	-0.00948090556107672 	0.0239779006979006 	0.0832382974443817
X^0 * Y^1 * Z^1 	0.00418614285052854 	-0.00372746999880746 	-0.434640222562813
X^1 * Y^1 * Z^1 	-0.230730710208263 	0.242431511505856 	-25.4440399272503
X^2 * Y^1 * Z^1 	0.0802620985314206 	0.028778021535345 	-7.27026484330656
X^3 * Y^1 * Z^1 	0.0510404534545046 	0.00113601057881851 	-7.51361071161702
X^0 * Y^2 * Z^1 	-0.0561008913837213 	0.0605115923692665 	-5.83930046771764
X^1 * Y^2 * Z^1 	0.065073954010586 	0.0045034250927074 	-2.90590577607651
X^2 * Y^2 * Z^1 	0.0892325587370237 	-0.028751619326556 	-11.941879128229
X^3 * Y^2 * Z^1 	0.0458741822326374 	-0.0848658440759209 	-4.00960149672483
X^0 * Y^3 * Z^1 	0.00917402522523503 	0.000342872282828921 	0.530378978977424
X^1 * Y^3 * Z^1 	0.0237778282255476 	-0.0153212948661405 	-2.85427413411772
X^2 * Y^3 * Z^1 	0.0405149727087064 	-0.0666501072960273 	-2.03425423603471
X^3 * Y^3 * Z^1 	-0.00703371092458838 	-0.00967187048831875 	-0.420156831195527
X^0 * Y^0 * Z^2 	0.00189539835924535 	-0.000723345932811981 	-0.292191357918426
X^1 * Y^0 * Z^2 	-0.192426980504024 	0.193566811609344 	-22.1922504834156
X^2 * Y^0 * Z^2 	-0.0106632528536466 	0.0407258689251648 	0.27086343079759
