XW	YW	ZW	X70	Y70	H70	NO
4357824.781	1860415.562	4256125.825	4539761.322	8481564.254	568.506	4
4354615.991	1865724.217	4257823.413	4541579.798	8487711.817	1066.670	5
4354506.489	1865323.520	4258163.197	4542005.942	8487387.816	1102.932	6
4356360.924	1858606.640	4258658.239	4543022.392	8480486.987	742.419	7
4356664.157	1857737.986	4258649.194	4543060.647	8479569.263	690.540	8
4357544.546	1856931.156	4258015.741	4542264.174	8478478.844	631.400	9
4357874.283	1857307.051	4257489.722	4541570.956	8478692.611	612.670	10
4356917.081	1858564.291	4258035.154	4542229.363	8480226.898	691.309	11
4359046.449	1846017.380	4261178.043	4546594.334	8467868.173	615.773	14
4355468.234	1850186.219	4263092.715	4549104.987	8473115.539	667.188	24
4342675.020	1865963.548	4269482.099	4557510.317	8492675.999	842.181	28
4348352.347	1861059.224	4265768.280	4552569.813	8485920.000	775.859	30
4348969.577	1841586.826	4273571.616	4563167.293	8467808.793	803.463	32
4353850.661	1855707.866	4262250.805	4548004.305	8478824.324	600.633	34
4354572.027	1840571.212	4268027.827	4555879.624	8464649.209	596.282	37
4344182.147	1843183.618	4277656.818	4568717.562	8471176.089	759.297	38
4355067.674	1840111.536	4267719.081	4555468.170	8464030.445	594.081	39
4356800.823	1856234.612	4259101.610	4543712.820	8478135.402	650.426	48
4339837.652	1869082.573	4271039.142	4559579.625	8496665.254	873.574	50
4340374.702	1868653.124	4270641.745	4559068.981	8496057.780	845.386	51
4346206.747	1854759.883	4270386.127	4558994.444	8480992.242	589.996	53
4342017.854	1867332.575	4269559.659	4557607.322	8494193.228	847.686	55
4348214.081	1854938.357	4268414.224	4556248.903	8480358.642	680.936	56
4348954.159	1844048.134	4272247.464	4561539.367	8470072.108	611.575	61
4352974.500	1847173.939	4266820.763	4554207.489	8471342.376	601.529	66
4341196.963	1861689.786	4272482.958	4561785.259	8489341.598	610.777	71
4349803.800	1855882.991	4266285.789	4553440.488	8480593.300	606.257	73
4342836.682	1859474.511	4271732.994	4560810.592	8486657.290	575.201	74
4342401.841	1859103.077	4272395.382	4561668.305	8486489.425	617.410	75
4355326.873	1843573.092	4266138.196	4553213.270	8467104.242	705.648	77
4342750.813	1850008.215	4276115.209	4566636.141	8478006.391	719.842	78
4348812.841	1859340.969	4265843.019	4552800.138	8484160.022	639.405	81
4352593.327	1848566.554	4266789.018	4554047.028	8472772.273	723.150	84
4344742.825	1861627.014	4269002.094	4557038.235	8487875.017	660.302	86
4347144.815	1858691.344	4267805.599	4555455.296	8484226.841	634.747	89
4347129.509	1854569.153	4269665.149	4557942.470	8480450.885	677.197	90
4344200.693	1863579.649	4268800.358	4556701.598	8489882.206	725.139	93
4344510.003	1863643.250	4268494.067	4556267.091	8489817.701	747.966	94
4345481.179	1860626.091	4268581.719	4556539.087	8486663.006	588.183	97
4345402.502	1862229.599	4268111.839	4555811.359	8488165.816	685.725	100
4342002.153	1862236.996	4271443.696	4560373.117	8489523.714	617.838	101
4347537.656	1856741.844	4268159.480	4555995.795	8482281.780	573.247	103
4345748.306	1861451.325	4268034.175	4555748.517	8487314.185	641.944	104
4340948.619	1852263.209	4277045.309	4567833.649	8480791.785	775.162	105
4347813.940	1857232.163	4267775.755	4555410.311	8482622.136	645.676	115
4361579.278	1848652.821	4257400.304	4541531.486	8469279.398	570.976	116
4348969.306	1856895.526	4266681.730	4553977.792	8481853.935	598.560	117
4346576.321	1841364.258	4275877.926	4566410.336	8468554.811	664.350	118
4346019.219	1852856.000	4271464.293	4560416.796	8479320.084	635.462	126
4346393.787	1860474.918	4267823.168	4555455.037	8486161.836	654.706	129
4347122.857	1859870.020	4267311.527	4554788.223	8485317.016	630.613	131
4351263.116	1844282.383	4269878.736	4558299.158	8469369.712	657.085	134
4340896.833	1867357.084	4270534.083	4559013.571	8494661.011	748.793	136
4346153.737	1853359.677	4271083.348	4559917.297	8479728.685	616.747	137
4346162.607	1845759.911	4274446.411	4564431.493	8472752.493	686.912	139
4340380.888	1861160.765	4273621.062	4563272.321	8489180.671	668.456	141
4353645.211	1856097.620	4262256.891	4548031.390	8479263.487	577.954	142
4349275.602	1843572.834	4272204.070	4561435.888	8469508.562	663.956	143
4341633.369	1865843.334	4270376.659	4558847.196	8492979.345	701.213	146
4346824.348	1855653.997	4269406.741	4557649.640	8481567.263	610.784	154
4343234.675	1848623.366	4276316.603	4566856.602	8476543.780	783.524	155
4350628.339	1845731.493	4269779.715	4558230.318	8470951.130	576.721	159
4347152.854	1860751.578	4266979.221	4554288.212	8486114.116	684.129	160
4346992.129	1859479.513	4267570.823	4555165.132	8485010.574	602.366	162
4349112.673	1846224.331	4271095.935	4560007.846	8472005.647	572.894	163
4348477.080	1857760.763	4266760.565	4554108.607	8482843.317	567.928	164
4347537.203	1856406.504	4268394.126	4556259.326	8481974.504	633.255	166
4353249.980	1846210.580	4267013.717	4554437.764	8470349.201	640.472	167
4340864.893	1861232.055	4273042.448	4562526.495	8489053.631	628.501	170
4351826.951	1849354.314	4267091.503	4554533.199	8473799.153	632.544	171
4346008.521	1854025.381	4270925.729	4559712.357	8480397.149	605.044	191
4368986.119	1845870.845	4251982.859	4533697.739	8463787.217	1194.298	202
4361383.001	1863399.456	4251441.076	4533301.994	8482888.526	725.803	205
4341915.318	1855105.369	4274753.568	4564781.843	8483015.108	712.641	206
4349726.345	1842101.327	4272587.582	4561834.684	8467980.127	804.383	208
4348143.307	1860029.058	4266248.096	4553329.131	8485057.492	656.248	214
4347264.044	1841072.637	4275364.011	4565683.567	8468014.167	701.939	216
4363922.180	1844009.602	4257616.554	4541487.654	8464090.587	973.542	220
4346486.037	1840117.151	4276708.682	4567413.832	8467447.271	803.238	222
4347604.027	1851791.668	4270474.669	4558990.976	8477714.189	739.063	225
4339674.360	1851571.171	4278637.665	4569983.151	8480663.233	782.269	226
4359119.101	1846475.837	4260932.429	4546245.246	8468260.051	632.801	227
4345002.148	1847294.041	4274940.617	4565103.260	8474621.193	673.897	228
4354293.772	1858228.501	4260983.095	4546119.372	8480961.711	783.738	231
4345339.551	1844080.858	4275931.022	4566486.766	8471538.749	642.434	233
4350736.145	1837403.841	4273518.008	4563155.571	8463268.566	765.809	234
4350524.137	1838759.556	4273062.185	4562586.836	8464596.315	704.617	237
4358960.718	1843436.614	4262393.847	4548236.680	8465534.385	628.580	238
4347661.310	1860822.241	4266476.893	4553583.880	8485976.981	712.876	239
4344590.242	1844810.864	4276483.812	4567162.943	8472506.718	715.952	241
4359757.638	1845092.042	4261179.587	4546404.249	8466737.862	834.510	242
4357028.102	1851495.872	4260817.567	4546108.756	8473696.824	582.311	244
4346463.252	1840238.341	4276640.097	4567344.802	8467567.356	776.462	246
4364225.821	1847399.283	4255699.353	4538975.513	8467079.274	874.423	247
4361881.040	1848342.149	4257271.276	4541332.897	8468874.589	600.520	258
4344026.532	1863896.759	4268855.726	4556765.281	8490242.396	736.455	261
4367046.462	1842861.688	4254997.156	4537928.584	8461796.079	1020.218	265
4364866.840	1851028.634	4253369.849	4535886.041	8470154.010	801.200	269
4362392.050	1849891.809	4256123.792	4539754.336	8470093.519	628.229	271
4344148.510	1849710.527	4274862.842	4564926.507	8477177.917	740.099	273
4365642.791	1851824.338	4252121.559	4534270.634	8470575.261	725.542	283
4362481.845	1851394.846	4255304.143	4538690.545	8471436.620	575.311	285
4351915.308	1875760.327	4257079.263	4540014.860	8497993.534	1664.105	304
4338136.666	1868201.716	4272952.873	4562280.811	8496532.832	749.299	305
4345676.851	1846961.654	4274293.193	4564296.792	8474047.724	600.638	306
4353870.012	1869623.067	4256709.306	4540173.480	8491585.024	950.860	307
4353779.989	1847918.508	4265973.741	4552884.746	8471706.490	796.037	314
4357414.120	1847759.895	4262348.979	4548002.536	8470116.716	792.128	316
4353943.549	1841130.140	4268430.078	4556415.708	8465411.836	599.538	317
4355902.161	1867544.157	4255860.150	4538847.380	8488870.684	1158.045	318
4347348.720	1845084.357	4273391.700	4563099.813	8471660.762	588.447	319
4346412.569	1842664.678	4275469.946	4565861.945	8469813.000	653.014	322
4343896.460	1853997.572	4273214.280	4562716.435	8481211.350	701.107	324
4340628.709	1865636.842	4271456.754	4560321.563	8493189.100	685.182	327
4356775.893	1851077.468	4261397.911	4546805.788	8473413.656	678.656	328
4346076.474	1846502.358	4274153.678	4564069.654	8473467.724	645.736	329
4355214.351	1856977.281	4260450.219	4545491.280	8479447.473	689.771	330
4352850.364	1855740.504	4263298.760	4549388.328	8479251.938	632.413	331
4349194.946	1841874.716	4273185.546	4562665.640	8467983.235	780.043	333
4356001.266	1851111.002	4262138.879	4547823.086	8473752.166	657.801	338
4342127.421	1855930.593	4274282.929	4564082.062	8483688.214	779.367	339
4351384.674	1838658.314	4272195.421	4561441.545	8464161.270	677.990	340
4356435.228	1851607.636	4261402.730	4546877.768	8474035.099	603.296	341
4347453.593	1846166.220	4272846.103	4562342.200	8472611.826	605.050	342
4344310.112	1850941.535	4274082.700	4563920.590	8478242.906	681.105	343
4348773.448	1843730.207	4272611.391	4562005.116	8469852.386	641.789	344
4348102.282	1859085.190	4266627.026	4553887.097	8484207.611	608.430	346
4340796.770	1867667.491	4270545.207	4559000.569	8494985.629	779.065	352
4353624.509	1847481.615	4266260.177	4553309.386	8471367.208	756.342	363
4341516.068	1860317.911	4272788.713	4562181.236	8487956.121	633.885	369
4341874.781	1854429.013	4275041.459	4565200.698	8482410.538	682.703	403
4363951.539	1845355.786	4256704.242	4540434.230	8465312.708	770.614	405
4369421.904	1843664.603	4252256.607	4534220.505	8461588.815	1039.062	406
4349265.267	1877897.759	4258178.254	4541890.846	8501006.954	1226.239	407
4355071.928	1860915.535	4259253.168	4543641.269	8483118.378	934.694	411
4348624.884	1860269.186	4265713.938	4552572.545	8485086.562	694.727	412
4344931.252	1840139.485	4278315.813	4569556.375	8468085.801	835.324	413
4349475.886	1877600.359	4258017.311	4541721.176	8500650.368	1174.308	414
4368117.685	1843057.763	4253848.266	4536365.154	8461550.379	1038.838	415
4339331.581	1862672.227	4274089.588	4563862.483	8490984.559	711.650	417
4357776.971	1847142.126	4262020.637	4547700.605	8469404.828	640.639	419
4337127.642	1867739.331	4274467.459	4564147.469	8496509.877	948.572	421
4354630.664	1839779.691	4268371.670	4556309.422	8463899.940	639.486	423
4365922.580	1844342.790	4255294.436	4538445.813	8463600.655	879.088	424
4360312.563	1843529.595	4261394.224	4546638.337	8465084.244	906.180	425
4352972.174	1841667.046	4269244.835	4557474.500	8466290.762	640.402	427
4361355.776	1845276.969	4259548.818	4544162.095	8466272.722	883.814	429
4339449.406	1868434.862	4271611.215	4560415.651	8496225.163	805.549	430
