EKATTE Община Категория
BGS01 Айтос 3
BGS04 Бургас 1
BGS06 Средец 3
BGS08 Камено 4
BGS09 Карнобат 3
BGS12 Малко Търново 4
BGS13 Царево 3
BGS15 Несебър 2
BGS17 Поморие 2
BGS18 Руен 4
BGS21 Созопол 3
BGS23 Сунгурларе 3
BGS27 Приморско 3
BLG01 Банско 3
BLG02 Белица 4
BLG03 Благоевград 1
BLG11 Гоце Делчев 2
BLG13 Гърмен 4
BLG28 Кресна 3
BLG33 Петрич 2
BLG37 Разлог 2
BLG40 Сандански 2
BLG42 Сатовча 4
BLG44 Симитли 3
BLG49 Струмяни 4
BLG52 Хаджидимово 4
BLG53 Якоруда 4
DOB03 Балчик 2
DOB12 Генерал Тошево 3
DOB15 Добрич-селска 3
DOB17 Каварна 3
DOB20 Крушари 4
DOB27 Тервел 3
DOB28 Добрич 1
2DOB29 Шабла 3
GAB05 Габрово 1
GAB12 Дряново 3
GAB29 Севлиево 2
GAB35 Трявна 3
HKV09 Димитровград 2
HKV11 Ивайловград 3
HKV17 Любимец 4
HKV18 Маджарово 4
HKV19 Минерални бани 5
HKV28 Свиленград 2
HKV29 Симеоновград 4
HKV30 Стамболово 5
HKV32 Тополовград 3
HKV33 Харманли 2
HKV34 Хасково 1
JAM03 Болярово 4
JAM07 Елхово 3
JAM22 Стралджа 4
JAM25 Тунджа 3
JAM26 Ямбол 1
KNL04 Бобов дол 3
KNL05 Бобошево 5
KNL27 Кочериново 4
KNL29 Кюстендил 1
KNL31 Невестино 5
KNL38 Рила 4
KNL41 Сапарева баня 4
KNL48 Дупница 2
KNL50 Трекляно 5
KRZ02 Ардино 4
KRZ08 Джебел 4
KRZ14 Кирково 4
KRZ15 Крумовград 3
KRZ16 Кърджали 1
KRZ21 Момчилград 3
KRZ35 Черноочене 5
3LOV02 Априлци 5
LOV17 Летница 4
LOV18 Ловеч 1
LOV19 Луковит 3
LOV33 Тетевен 3
LOV34 Троян 2
LOV36 Угърчин 4
LOV38 Ябланица 4
MON02 Берковица 3
MON04 Бойчиновци 5
MON07 Брусарци 5
MON11 Вълчедръм 4
MON12 Вършец 4
MON14 Георги Дамяново 5
MON24 Лом 2
MON26 Медковец 5
MON29 Монтана 1
MON36 Чипровци 4
MON38 Якимово 5
PAZ03 Батак 4
PAZ04 Белово 4
PAZ06 Брацигово 4
PAZ08 Велинград 2
PAZ14 Лесичово 5
PAZ19 Пазарджик 1
PAZ20 Панагюрище 2
PAZ21 Пещера 3
PAZ24 Ракитово 4
PAZ29 Септември 3
PAZ32 Стрелча 4
PDV01 Асеновград 2
PDV07 Брезово 4
PDV12 Калояново 4
PDV13 Карлово 2
PDV15 Лъки 4
PDV17 Марица 3
PDV22 Пловдив 1
4PDV23 Първомай 3
PDV25 Раковски 3
